Ref_Date,GEO,SEAS,PRICES,NAICS,Value
2003/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1303193
2003/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1307320
2003/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1311369
2003/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1318232
2003/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1305552
2003/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1321458
2003/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1326973
2003/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1328084
2003/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1333319
2004/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1335250
2004/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1333995
2004/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1345503
2004/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1348586
2004/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1349571
2004/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1355867
2004/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1356853
2004/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1362357
2004/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1365968
2004/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1366210
2004/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1371174
2004/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1371331
2005/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1377872
2005/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1378783
2005/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1374077
2005/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1384207
2005/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1390062
2005/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1394154
2005/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1397646
2005/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1402812
2005/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1403844
2005/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1408406
2005/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1415941
2005/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1423236
2006/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1426499
2006/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1429581
2006/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1432781
2006/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1433056
2006/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1433715
2006/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1431494
2006/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1434342
2006/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1435711
2006/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1434067
2006/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1436868
2006/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1440654
2006/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1450451
2007/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1448187
2007/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1454974
2007/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1457841
2007/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1459692
2007/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1464184
2007/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1468020
2007/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1468745
2007/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1476172
2007/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1475654
2007/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1475279
2007/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1478335
2007/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1473209
2008/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1479314
2008/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1475941
2008/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1478793
2008/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1482674
2008/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1482170
2008/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1486280
2008/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1492906
2008/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1490518
2008/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1491310
2008/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1492168
2008/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1476661
2008/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1456237
2009/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1449609
2009/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1441717
2009/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1431062
2009/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1427481
2009/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1425246
2009/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1428798
2009/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1431410
2009/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1430383
2009/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1441215
2009/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1443774
2009/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1452669
2009/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1456248
2010/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1465388
2010/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1472653
2010/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1480485
2010/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1479348
2010/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1485823
2010/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1488406
2010/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1488617
2010/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1493504
2010/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1493372
2010/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1499793
2010/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1506896
2010/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1516427
2011/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1521926
2011/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1519254
2011/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1524479
2011/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1523180
2011/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1518546
2011/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1524168
2011/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1533855
2011/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1542312
2011/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1547602
2011/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1548345
2011/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1550199
2011/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1559414
2012/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1559810
2012/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1555968
2012/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1557835
2012/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1563656
2012/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1564378
2012/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1565005
2012/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1568613
2012/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1567115
2012/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1567117
2012/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1568911
2012/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1575246
2012/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1573486
2013/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1581334
2013/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1585384
2013/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1590775
2013/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1592341
2013/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1595427
2013/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1589572
2013/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1599653
2013/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1602538
2013/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1606768
2013/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1613907
2013/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1616979
2013/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1610130
2014/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1613255
2014/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1620806
2014/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1623389
2014/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1626952
2014/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1634643
2014/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1641669
2014/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1642817
2014/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1641455
2014/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1648485
2014/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1654092
2014/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1650612
2014/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1656445
2015/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1652337
2015/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1650031
2015/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1646543
2015/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1645610
2015/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1642118
2015/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1649021
2015/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1653505
2015/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1655842
